trial,tau,mean_correlation,upper_bound,changed_outputs,departed_transcripts
108,0.42888836093024835,-2.688821387764051e-17,2.166074984980246,0,0
109,0.342908342530587,-2.42861286636753e-17,3.1993955579138205,0,0
110,0.41518876876328237,8.673617379884035e-18,2.2889007005934836,0,0
111,0.5281959600315966,-2.42861286636753e-17,1.5422923810217117,0,0
112,0.6820219208827775,1.734723475976807e-17,1.059138323607436,0,0
113,0.2584532864629001,2.3418766925686896e-17,5.377207598740075,0,1
114,0.2835348036911892,1.3010426069826053e-17,4.524606428456941,0,1
115,0.2972301900692203,-0.05128205128205129,4.147420591844398,1,2
116,0.26348866639602775,5.204170427930421e-18,5.186334070758374,0,3
117,0.49409734716749254,-1.0408340855860843e-17,1.714668175833959,0,0
118,0.11462858462623846,-0.10256410256410256,25.96770780514839,5,10
119,0.20770682386233758,0.07264957264957268,8.141948776888185,2,5
120,0.17448439889090828,-2.42861286636753e-17,11.39788996751619,0,3
121,0.3987336340696115,8.673617379884035e-19,2.4534919548556617,0,0
122,0.6547621820987235,-2.2551405187698492e-17,1.120684115899894,0,0
123,0.4807522514954765,0.0,1.7923234321285606,0,0
124,0.6908601252233763,-1.3877787807814457e-17,1.0407306210000589,0,0
125,0.25535217732607085,6.938893903907228e-18,5.5004192468023,0,2
126,0.6286023078856783,5.204170427930421e-18,1.1874332750512622,0,0
127,0.4996693059963973,-6.938893903907228e-18,1.6840710117041127,0,0
128,0.2518320679493926,1.5612511283791264e-17,5.645831152101557,0,1
129,0.2125893835500111,0.05769230769230767,7.7874639881606695,2,4
130,0.23931745374906171,-0.0405982905982906,6.215784917641877,2,3
131,0.6081798329038476,-2.0816681711721685e-17,1.245638886030643,0,0
132,0.6619693608181155,2.688821387764051e-17,1.1036704137540658,0,0
133,0.26594276443039466,-1.214306433183765e-17,5.097212950251224,0,1
134,0.4312534729306236,3.469446951953614e-18,2.1460465370163138,0,1
135,0.2783334638788121,-5.204170427930421e-18,4.682653109123568,0,1
136,0.43639209089373665,1.734723475976807e-17,2.1036481851245847,0,0
137,0.11757011153385813,0.032051282051282055,24.701129256540433,4,8
138,0.46636509939302945,3.469446951953614e-18,1.8836218256802124,0,0
139,0.5252937871725675,-6.938893903907228e-18,1.5556687474525868,0,0
140,0.5662494807722221,1.3877787807814457e-17,1.385486472415844,0,0
141,0.5179946116036737,7.806255641895632e-18,1.590310704741556,0,0
142,0.4200558201814502,-3.469446951953614e-18,2.243886074748977,0,0
